ID	Length
EPrPING00000000719	68
EPrPING00000000720	73
EPrPING00000000721	73
EPrPING00000000722	81
EPrPING00000000723	72
EPrPING00000000724	73
EPrPING00000000725	73
EPrPING00000000726	72
EPrPING00000000727	72
EPrPING00000000728	1829
EPrPING00000000729	72
EPrPING00000000730	72
EPrPING00000000731	71
EPrPING00000000732	74
EPrPING00000000733	68
EPrPING00000000734	72
EPrPING00000000735	81
EPrPING00000000736	72
EPrPING00000000737	72
EPrPING00000000738	74
EPrPING00000000739	74
EPrPING00000000740	81
EPrPING00000000741	73
EPrPING00000000742	62
EPrPING00000000743	74
EPrPING00000000744	185
EPrPING00000000745	72
EPrPING00000000746	72
EPrPING00000000747	69
EPrPING00000000748	182
EPrPING00000000749	72
EPrPING00000000750	82
EPrPING00000000751	72
EPrPING00000000752	72
EPrPING00000000753	105
EPrPING00000000754	72
EPrPING00000000755	4146
EPrPING00000000756	71
EPrPING00000000757	68
EPrPING00000000758	72
EPrPING00000000759	73
EPrPING00000000760	73
EPrPING00000000761	74
EPrPING00000000762	73
EPrPING00000000763	73
EPrPING00000000764	73
EPrPING00000000765	74
EPrPING00000000766	72
EPrPING00000000767	73
EPrPING00000000768	72
EPrPING00000000769	73
EPrPING00000000770	73
EPrPING00000000771	72
EPrPING00000000772	62
EPrPING00000000773	73
EPrPING00000000774	72
EPrPING00000000775	72
EPrPING00000000776	72
EPrPING00000000777	214
EPrPING00000000778	172
EPrPING00000000779	72
EPrPING00000000780	117
EPrPING00000000781	72
EPrPING00000000782	72
EPrPING00000000783	72
EPrPING00000000784	72
EPrPING00000000785	4168
EPrPING00000000786	117
EPrPING00000000787	73
EPrPING00000000788	86
EPrPING00000000789	72
EPrPING00000000790	72
EPrPING00000000791	73
EPrPING00000000792	73
EPrPING00000000793	72
EPrPING00000000794	72
EPrPING00000000795	82
EPrPING00000000796	71
EPrPING00000000797	73
EPrPING00000000798	72
EPrPING00000000799	72
EPrPING00000000800	70
EPrPING00000000801	73
EPrPING00000000802	73
EPrPING00000000803	81
EPrPING00000000804	68
EPrPING00000000805	73
EPrPING00000000806	73
EPrPING00000000807	72
EPrPING00000000808	72
EPrPING00000000809	80
EPrPING00000000810	73
EPrPING00000000811	73
EPrPING00000000812	73
EPrPING00000000813	73
EPrPING00000000814	72
EPrPING00000000815	1827
EPrPING00000000816	73
EPrPING00000000817	72
EPrPING00000000818	73
EPrPING00000000819	72
EPrPING00000000820	82
EPrPING00000000821	72
EPrPING00000000822	73
EPrPING00000000823	72
EPrPING00000000824	73
EPrPING00000000825	73
EPrPING00000000826	73
EPrPING00000000827	106
EPrPING00000000828	72
EPrPING00000000829	73
EPrPING00000000830	72
EPrPING00000000831	183
EPrPING00000000832	72
EPrPING00000000833	73
EPrPING00000000834	75
EPrPING00000000835	72
EPrPING00000000836	73
EPrPING00000000837	70
EPrPING00000000838	73
EPrPING00000000839	72
EPrPING00000000840	73
EPrPING00000000841	73
EPrPING00000000842	74
EPrPING00000000843	72
EPrPING00000000844	72
EPrPING00000000845	72
EPrPING00000000846	64
EPrPING00000000847	82
EPrPING00000000848	72
EPrPING00000000849	205
EPrPING00000000850	72
EPrPING00000000851	1711
EPrPING00000000852	72
EPrPING00000000853	72
EPrPING00000000854	70
EPrPING00000000855	72
EPrPING00000000856	82
EPrPING00000000857	73
EPrPING00000000858	73
EPrPING00000000859	72
EPrPING00000000860	72
EPrPING00000000861	72
EPrPING00000000862	73
EPrPING00000000863	1806
EPrPING00000000864	72
EPrPING00000000865	73
EPrPING00000000866	73
EPrPING00000000867	1827
EPrPING00000000868	73
EPrPING00000000869	72
EPrPING00000000870	73
EPrPING00000000871	72
EPrPING00000000872	72
EPrPING00000000873	73
EPrPING00000000874	73
EPrPING00000000875	72
EPrPING00000000876	73
EPrPING00000000877	73
EPrPING00000000878	1842
EPrPING00000000879	73
EPrPING00000000880	73
EPrPING00000000881	73
EPrPING00000000882	73
EPrPING00000000883	73
EPrPING00000000884	71
EPrPING00000000885	62
EPrPING00000000886	72
EPrPING00000000887	74
EPrPING00000000888	64
EPrPING00000000889	72
EPrPING00000000890	86
EPrPING00000000891	72
EPrPING00000000892	73
EPrPING00000000893	72
EPrPING00000000894	73
EPrPING00000000895	73
EPrPING00000000896	72
EPrPING00000000897	73
EPrPING00000000898	72
EPrPING00000000899	73
EPrPING00000000900	72
EPrPING00000000901	73
EPrPING00000000902	73
EPrPING00000000903	71
EPrPING00000000904	81
EPrPING00000000905	72
EPrPING00000000906	72
EPrPING00000000907	71
EPrPING00000000908	73
EPrPING00000000909	72
EPrPING00000000910	64
EPrPING00000000911	81
EPrPING00000000912	73
EPrPING00000000913	72
EPrPING00000000914	72
EPrPING00000000915	73
EPrPING00000000916	81
EPrPING00000000917	80
EPrPING00000000918	72
EPrPING00000000919	74
EPrPING00000000920	73
EPrPING00000000921	68
EPrPING00000000922	73
EPrPING00000000923	72
EPrPING00000000924	185
EPrPING00000000925	72
EPrPING00000000926	73
EPrPING00000000927	72
EPrPING00000000928	72
EPrPING00000000929	72
EPrPING00000000930	73
EPrPING00000000931	105
EPrPING00000000932	81
EPrPING00000000933	72
EPrPING00000000934	72
EPrPING00000000935	73
EPrPING00000000936	81
EPrPING00000000937	73
EPrPING00000000938	81
EPrPING00000000939	72
EPrPING00000000940	74
EPrPING00000000941	72
EPrPING00000000942	81
EPrPING00000000943	114
EPrPING00000000944	86
EPrPING00000000945	72
EPrPING00000000946	68
EPrPING00000000947	73
EPrPING00000000948	73
EPrPING00000000949	72
EPrPING00000000950	72
EPrPING00000000951	72
EPrPING00000000952	78
EPrPING00000000953	67
EPrPING00000000954	72
EPrPING00000000955	72
EPrPING00000000956	72
EPrPING00000000957	72
EPrPING00000000958	72
EPrPING00000000959	2728
EPrPING00000000960	73
EPrPING00000000961	72
EPrPING00000000962	72
EPrPING00000000963	68
EPrPING00000000964	73
EPrPING00000000965	72
EPrPING00000000966	72
EPrPING00000000967	72
EPrPING00000000968	72
EPrPING00000000969	73
EPrPING00000000970	73
EPrPING00000000971	73
EPrPING00000000972	73
EPrPING00000000973	81
EPrPING00000000974	72
EPrPING00000000975	82
EPrPING00000000976	104
EPrPING00000000977	72
EPrPING00000000978	86
EPrPING00000000979	117
EPrPING00000000980	81
EPrPING00000000981	71
EPrPING00000000982	73
EPrPING00000000983	73
EPrPING00000000984	82
EPrPING00000000985	72
EPrPING00000000986	72
EPrPING00000000987	72
EPrPING00000000988	72
EPrPING00000000989	74
EPrPING00000000990	73
EPrPING00000000991	72
EPrPING00000000992	72
EPrPING00000000993	68
EPrPING00000000994	72
EPrPING00000000995	73
EPrPING00000000996	72
EPrPING00000000997	72
EPrPING00000000998	73
EPrPING00000000999	73
EPrPING00000001000	73
EPrPING00000001001	72
EPrPING00000001002	71
EPrPING00000001003	73
EPrPING00000001004	73
EPrPING00000001005	73
EPrPING00000001006	71
EPrPING00000001007	72
EPrPING00000001008	88
EPrPING00000001009	72
EPrPING00000001010	73
EPrPING00000001011	73
EPrPING00000001012	72
EPrPING00000001013	82
EPrPING00000001014	74
EPrPING00000001015	72
EPrPING00000001016	69
EPrPING00000001017	72
EPrPING00000001018	73
EPrPING00000001019	72
EPrPING00000001020	72
EPrPING00000001021	72
EPrPING00000001022	72
EPrPING00000001023	72
EPrPING00000001024	74
EPrPING00000001025	71
EPrPING00000001026	72
EPrPING00000001027	81
EPrPING00000001028	72
EPrPING00000001029	73
EPrPING00000001030	83
EPrPING00000001031	73
EPrPING00000001032	72
EPrPING00000001033	73
EPrPING00000001034	104
EPrPING00000001035	72
EPrPING00000001036	1827
EPrPING00000001037	71
EPrPING00000001038	73
EPrPING00000001039	72
EPrPING00000001040	73
EPrPING00000001041	81
EPrPING00000001042	104
EPrPING00000001043	72
EPrPING00000001044	86
EPrPING00000001045	72
EPrPING00000001046	72
EPrPING00000001047	68
EPrPING00000001048	75
EPrPING00000001049	72
EPrPING00000001050	72
EPrPING00000001051	73
EPrPING00000001052	72
EPrPING00000001053	73
EPrPING00000001054	72
EPrPING00000001055	73
EPrPING00000001056	74
EPrPING00000001057	72
EPrPING00000001058	73
EPrPING00000001059	72
EPrPING00000001060	73
EPrPING00000001061	72
EPrPING00000001062	72
EPrPING00000001063	72
EPrPING00000001064	104
EPrPING00000001065	73
EPrPING00000001066	75
EPrPING00000001067	82
EPrPING00000001068	73
EPrPING00000001069	73
EPrPING00000001070	73
EPrPING00000001071	73
EPrPING00000001072	72
EPrPING00000001073	72
EPrPING00000001074	117
EPrPING00000001075	81
EPrPING00000001076	81
EPrPING00000001077	73
EPrPING00000001078	72
EPrPING00000001079	69
EPrPING00000001080	73
EPrPING00000001081	81
EPrPING00000001082	82
EPrPING00000001083	73
EPrPING00000001084	72
EPrPING00000001085	72
EPrPING00000001086	73
EPrPING00000001087	72
EPrPING00000001088	70
EPrPING00000001089	73
EPrPING00000001090	72
EPrPING00000001091	80
EPrPING00000001092	81
EPrPING00000001093	73
EPrPING00000001094	232
EPrPING00000001095	105
EPrPING00000001096	75
EPrPING00000001097	72
EPrPING00000001098	72
EPrPING00000001099	82
EPrPING00000001100	73
EPrPING00000001101	72
EPrPING00000001102	116
EPrPING00000001103	73
EPrPING00000001104	82
EPrPING00000001105	73
EPrPING00000001106	73
EPrPING00000001107	105
EPrPING00000001108	70
EPrPING00000001109	81
EPrPING00000001110	73
EPrPING00000001111	4140
EPrPING00000001112	73
EPrPING00000001113	72
EPrPING00000001114	104
EPrPING00000001115	68
EPrPING00000001116	72
EPrPING00000001117	73
EPrPING00000001118	73
EPrPING00000001119	72
EPrPING00000001120	79
EPrPING00000001121	73
EPrPING00000001122	72
EPrPING00000001123	72
EPrPING00000001124	72
EPrPING00000001125	73
EPrPING00000001126	72
EPrPING00000001127	86
EPrPING00000001128	75
EPrPING00000001129	72
EPrPING00000001130	73
EPrPING00000001131	73
EPrPING00000001132	72
EPrPING00000001133	73
EPrPING00000001134	72
EPrPING00000001135	72
EPrPING00000001136	73
EPrPING00000001137	73
EPrPING00000001138	72
EPrPING00000001139	72
EPrPING00000001140	72
EPrPING00000001141	72
EPrPING00000001142	72
EPrPING00000001143	72
EPrPING00000001144	73
EPrPING00000001145	72
EPrPING00000001146	73
EPrPING00000001147	72
EPrPING00000001148	73
EPrPING00000001149	105
EPrPING00000001150	70
EPrPING00000001151	82
EPrPING00000001152	72
EPrPING00000001153	72
EPrPING00000001154	87
EPrPING00000001155	73
EPrPING00000001156	72
EPrPING00000001157	73
EPrPING00000001158	73
EPrPING00000001159	72
EPrPING00000001160	73
EPrPING00000001161	72
EPrPING00000001162	74
EPrPING00000001163	73
EPrPING00000001164	72
EPrPING00000001165	86
EPrPING00000001166	75
EPrPING00000001167	73
EPrPING00000001168	73
EPrPING00000001169	72
EPrPING00000001170	73
EPrPING00000001171	72
EPrPING00000001172	73
EPrPING00000001173	73
EPrPING00000001174	72
EPrPING00000001175	75
EPrPING00000001176	72
EPrPING00000001177	73
EPrPING00000001178	73
EPrPING00000001179	70
EPrPING00000001180	81
EPrPING00000001181	73
EPrPING00000001182	72
EPrPING00000001183	72
EPrPING00000001184	75
EPrPING00000001185	73
EPrPING00000001186	72
EPrPING00000001187	82
EPrPING00000001188	73
EPrPING00000001189	72
EPrPING00000001190	72
EPrPING00000001191	72
EPrPING00000001192	73
EPrPING00000001193	82
EPrPING00000001194	72
EPrPING00000001195	105
EPrPING00000001196	73
EPrPING00000001197	81
EPrPING00000001198	72
EPrPING00000001199	73
EPrPING00000001200	72
EPrPING00000001201	73
EPrPING00000001202	72
EPrPING00000001203	73
EPrPING00000001204	72
EPrPING00000001205	73
EPrPING00000001206	69
EPrPING00000001207	72
EPrPING00000001208	80
EPrPING00000001209	72
EPrPING00000001210	72
EPrPING00000001211	81
EPrPING00000001212	72
EPrPING00000001213	72
EPrPING00000001214	72
EPrPING00000001215	72
EPrPING00000001216	104
EPrPING00000001217	73
EPrPING00000001218	72
EPrPING00000001219	4140
EPrPING00000001220	81
EPrPING00000001221	83
EPrPING00000001222	68
EPrPING00000001223	104
